work_key,title,author,publishers,first_sale_month,active_months,lifetime_net_sales,cum_1m_net_sales,observed_1m,cum_3m_net_sales,observed_3m,cum_6m_net_sales,observed_6m,cum_12m_net_sales,observed_12m,platform_count_12m,top_platform_share_12m
"십절무록|||검궁인, 사마달",십절무록,"검궁인, 사마달",프로무림,2021-02,60,1023750,12885,Y,69058,Y,133219,Y,250413,Y,10,0.3639
십정천하|||검궁인,십정천하,검궁인,프로무림,2021-02,59,486049,1342,Y,29987,Y,68082,Y,113339,Y,11,0.3811
쌍룡몽|||사마달,쌍룡몽,사마달,프로무림,2021-02,52,139257,1890,Y,6582,Y,15309,Y,27961,Y,5,0.4281
썬더버드|||박재학,썬더버드,박재학,프로무림,2021-02,59,1209272,11340,Y,64170,Y,144600,Y,246121,Y,8,0.3726
아렌|||사이딘,아렌,사이딘,프로무림,2021-02,24,464936,33565,Y,33565,Y,101185,Y,141855,Y,1,1.0
아빠의 게임|||정현우,아빠의 게임,정현우,포텐,2021-02,60,34794196,783989,Y,1184412,Y,4162603,Y,11101680,Y,14,0.7404
아이리스|||박성호,아이리스,박성호,프로무림,2021-02,47,980084,7000,Y,28000,Y,117250,Y,248850,Y,5,0.6681
아카식 마스터|||무영,아카식 마스터,무영,프로무림,2021-02,41,175808,8884,Y,21187,Y,39332,Y,57270,Y,5,0.3851
아크리안|||김민,아크리안,김민,프로무림,2021-02,31,65046,2863,Y,6708,Y,10634,Y,15291,Y,2,0.7315
아티팩트|||박재학,아티팩트,박재학,프로무림,2021-02,59,1658621,47127,Y,83802,Y,223498,Y,419873,Y,9,0.4695
악마와 계약한 프로게이머|||한리,악마와 계약한 프로게이머,한리,포텐,2021-02,59,5917905,166516,Y,569721,Y,1907355,Y,2543282,Y,12,0.7389
악불기행|||강태산,악불기행,강태산,프로무림,2021-02,35,53219,343,Y,4728,Y,6958,Y,14026,Y,6,0.3966
악인무적|||권천,악인무적,권천,프로무림,2021-02,34,33079,434,Y,5610,Y,8699,Y,11830,Y,5,0.5177
악중협|||청산,악중협,청산,프로무림,2021-02,54,484055,7490,Y,25785,Y,65147,Y,101202,Y,6,0.6723
안하무인|||강태산,안하무인,강태산,포텐|프로무림,2021-02,60,4465107,96200,Y,213040,Y,418040,Y,1054740,Y,11,0.4769
